part_id,part_abs_freq,type
part_8590239215,1,Consumable
part_8589941845,33,Consumable
part_8590126315,1,Consumable
part_8589983262,2,Consumable
part_8589987529,3,Part
part_8589936531,3,Part
part_8589949572,12,Consumable
part_8589997495,1,Part
part_8590025444,1,Part
part_8590025435,1,Part
part_8589999161,1,Part
part_8590028870,1,Part
part_8590070690,5,Consumable
part_8589945298,46,Consumable
part_8589963648,1,Part
part_8589945302,50,Consumable
part_8589945296,46,Consumable
part_8589965976,9,Consumable
part_8589945299,48,Consumable
part_8589961581,1,Consumable
part_8589940182,4,Part
part_8589942560,2,Consumable
part_8590222147,5,Part
part_8590134391,2,Consumable
part_8589974137,5,Consumable
part_8590043127,3,Consumable
part_8589934903,15,Part
part_8590102689,2,Part
part_8590057917,5,Consumable
part_8590225222,1,Part
part_8590171636,2,Consumable
part_8590225223,1,Part
part_8589984837,7,Consumable
part_8590266271,1,Part
part_8590072496,4,Part
part_8590054347,5,Part
part_8590181789,3,Part
part_8590073790,1,Part
part_8589963793,31,Part
part_8589957582,2,Consumable
part_8589986176,6,Part
part_8589973753,3,Part
part_8590102385,3,Part
part_8589945076,19,Consumable
part_8589972420,1,Consumable
part_8589936728,76,Part
part_8589935511,482,Part
part_8589935600,1,Consumable
part_8590069211,4,Consumable
part_8589999800,1,Consumable
part_8590028153,3,Consumable
part_8590254197,1,Part
part_8590067732,1,Part
part_8590166396,2,Consumable
part_8589935610,2,Consumable
part_8589989836,3,Part
part_8589934724,1054,Consumable
part_8590100466,1,Consumable
part_8590122806,2,Consumable
part_8589954864,7,Part
part_8590049704,2,Consumable
part_8589936198,21,Consumable
part_8590179343,8,Part
part_8590239344,1,Consumable
part_8590140516,1,Part
part_8590011928,5,Consumable
part_8589949199,15,Consumable
part_8590105549,1,Consumable
part_8590008962,4,Part
part_8590063768,1,Consumable
part_8590060421,3,Part
part_8590137102,3,Consumable
part_8589980841,9,Consumable
part_8590114278,1,Part
part_8590114279,1,Part
part_8590004328,1,Part
part_8589960703,1,Part
part_8589937242,9,Part
part_8590019376,1,Consumable
part_8590022832,1,Consumable
part_8590157382,1,Consumable
part_8590035595,7,Consumable
part_8589988054,3,Consumable
part_8589989017,5,Consumable
part_8590120185,3,Consumable
part_8590086036,5,Consumable
part_8589955648,24,Consumable
part_8589949234,23,Consumable
part_8589949273,1,Part
part_8589952271,50,Consumable
part_8589940444,2,Consumable
part_8590230632,1,Consumable
part_8589934981,74,Consumable
part_8590076252,1,Part
part_8590239345,1,Consumable
part_8590163195,3,Consumable
part_8590025732,3,Consumable
part_8589955226,3,Consumable
part_8590207848,1,Part
part_8589997348,7,Part
part_8589943515,41,Consumable
part_8590151252,9,Consumable
part_8590275040,1,Part
part_8589951460,9,Consumable
part_8590056738,1,Consumable
part_8589936289,86,Consumable
part_8590126140,2,Part
part_8590279934,1,Consumable
part_8590113657,2,Consumable
part_8590206139,1,Consumable
part_8590006695,3,Consumable
part_8590140455,4,Consumable
part_8590195467,2,Consumable
part_8590267363,1,Consumable
part_8590026871,14,Consumable
part_8589973021,1,Consumable
part_8590201927,1,Consumable
part_8590201926,1,Consumable
part_8589936283,137,Consumable
part_8590246546,3,Consumable
part_8589979756,8,Consumable
part_8590026068,3,Consumable
part_8589995048,8,Consumable
part_8590178557,1,Consumable
part_8589935280,75,Consumable
part_8590253055,2,Consumable
part_8589940196,11,Consumable
part_8589940091,17,Consumable
part_8589946115,8,Consumable
part_8589943110,14,Consumable
part_8589947770,32,Consumable
part_8590175322,9,Consumable
part_8590203766,1,Consumable
part_8590027072,2,Consumable
part_8590000386,5,Consumable
part_8590140490,3,Consumable
part_8590112435,6,Part
part_8589964079,7,Consumable
part_8590183385,2,Consumable
part_8589951048,11,Consumable
part_8589935281,586,Consumable
part_8589969775,22,Consumable
part_8589967082,26,Consumable
part_8589978047,2,Consumable
part_8589985228,2,Consumable
part_8590272114,8,Consumable
part_8590034179,1,Consumable
part_8589935272,1,Consumable
part_8590176026,2,Consumable
part_8590223209,2,Consumable
